cod_semestre;cod_facultad;cod_escuela;cod_plan;cod_asignatura;cod_alumno;val_calific_final
20191;20;1;2009;201105;10200126;12
20191;20;1;2009;201105;12200009;16
20191;20;1;2009;201105;12200088;12
20191;20;1;2009;201105;12200115;11
20191;20;1;2009;201105;13200134;16
20191;20;1;2009;201105;10200225;17
20191;20;1;2009;201105;13200094;13
20191;20;1;2009;201105;13200146;16
20191;20;1;2009;201105;13200008;0
20191;20;1;2009;201105;10200084;13
20191;20;1;2009;201105;11200175;14
20191;20;1;2009;201105;11200221;12
20191;20;1;2009;201105;11200232;17
20191;20;1;2009;201105;12200150;6
20191;20;1;2009;201105;12200164;17
20191;20;1;2009;201105;11200109;0
20191;20;1;2009;201105;13200170;16
20191;20;1;2009;201105;9200120;10
20191;20;1;2009;201105;12200081;13
20191;20;1;2009;201105;13200011;0
20191;20;1;2009;201105;13200014;10
20191;20;1;2009;201105;13200021;11
20191;20;1;2009;201105;13200032;12
20191;20;1;2009;201105;13200096;14
20191;20;1;2009;201105;9200193;10
20191;20;1;2009;201105;11200085;13
20191;20;1;2009;201105;11200103;12
20191;20;1;2009;201105;11200009;0
20191;20;1;2009;201106;9200082;12
20191;20;1;2009;201106;9200111;15
20191;20;1;2009;201106;13200191;14
20191;20;1;2009;201106;13200205;14
20191;20;1;2009;201106;13200134;14
20191;20;1;2009;201106;12200043;12
20191;20;1;2009;201106;9200027;12
20191;20;1;2009;201106;9200047;13
20191;20;1;2009;201106;13200041;12
20191;20;1;2009;201106;13200096;16
20191;20;1;2009;201106;11200085;15
20191;20;1;2009;201106;11200087;13
20191;20;1;2009;201106;11200099;16
20191;20;1;2009;201106;11200225;14
20191;20;1;2009;201106;13200168;14
20191;20;1;2009;201106;9200010;13
20191;20;1;2009;201203M ;13200185;11
20191;20;1;2009;201203M ;9200082;11
20191;20;1;2009;201203M ;10200085;7
20191;20;1;2009;201203M ;11200061;4
20191;20;1;2009;201203M ;13200134;12
20191;20;1;2009;201203M ;12200031;9
20191;20;1;2009;201203M ;13200073;0
20191;20;1;2009;201203M ;13200087;2
20191;20;1;2009;201203M ;13200091;9
20191;20;1;2009;201203M ;9200047;12
20191;20;1;2009;201203M ;10200014;13
